"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","42661","R32 C02-C13,C45 Crear vigencia para la nota tecnica","","2026-04-01","passed","2026-04-01","","","",""
"","22658","R32 Listar parametro nota tecnica","","2026-04-01","passed","2026-04-01","","","",""
"","147629","R30 C02-C13,C45 Crear vigencias verificando el archivo cargado","","2026-04-01","passed","2026-04-01","","","",""
"","26119","R30 C01,C42 Tablas de mortalidad","","2026-04-01","passed","2026-04-01","","","",""
"","41195","R32 C02-C13,C45 Verificar los arhivos cargados","","2026-04-01","passed","2026-04-01","","","",""
"","49927","R05 Carga exitosa del archivo masivo y descarga de resultados","","2026-04-01","failed","2026-04-01","","","",""
"","42789","R32 C25-C29 Eliminar las vigencias de los parametros","","2026-04-01","passed","2026-04-01","","","",""
"","46837","Cargar archivo de calculos","","2026-04-01","failed","2026-04-01","","","",""
"","90067","R30 C25-C29 Eliminar las vigencias de los parametros","","2026-04-01","passed","2026-04-01","","","",""
"","153675","R30 C02-C13,C45 Verificar los arhivos cargados","","2026-04-01","passed","2026-04-01","","","",""
